Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
LATE_2022-08-10_1800,08-10-2022,08-11-2022,Operational Capacity,18:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1900,08-10-2022,08-11-2022,Operational Capacity,19:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_1900,08-10-2022,08-11-2022,Operational Capacity,19:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2100,08-10-2022,08-11-2022,Operational Capacity,21:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2100,08-10-2022,08-11-2022,Operational Capacity,21:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2200,08-10-2022,08-11-2022,Operational Capacity,22:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2200,08-10-2022,08-11-2022,Operational Capacity,22:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2300,08-10-2022,08-11-2022,Operational Capacity,23:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-10_2300,08-10-2022,08-11-2022,Operational Capacity,23:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0005,08-11-2022,08-11-2022,Operational Capacity,00:05,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0005,08-11-2022,08-11-2022,Operational Capacity,00:05,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0100,08-11-2022,08-11-2022,Operational Capacity,01:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0100,08-11-2022,08-11-2022,Operational Capacity,01:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0200,08-11-2022,08-11-2022,Operational Capacity,02:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0200,08-11-2022,08-11-2022,Operational Capacity,02:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0300,08-11-2022,08-11-2022,Operational Capacity,03:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0300,08-11-2022,08-11-2022,Operational Capacity,03:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0400,08-11-2022,08-11-2022,Operational Capacity,04:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0400,08-11-2022,08-11-2022,Operational Capacity,04:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0500,08-11-2022,08-11-2022,Operational Capacity,05:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0500,08-11-2022,08-11-2022,Operational Capacity,05:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
